task,loss
badham2017deficits,0.5430153608322144
bahrami2020four,0.7195784449577332
enkavi2019adaptivenback,0.4212111830711365
enkavi2019digitspan,0.588655948638916
enkavi2019gonogo,2.1768211809103377e-05
enkavi2019recentprobes,0.2657366991043091
feng2021dynamics,0.22363482415676117
flesch2018comparing,0.384798526763916
frey2017cct,0.204746276140213
frey2017risk,0.06879022717475891
gershman2018deconstructing,0.3028169870376587
gershman2020reward,0.5373235940933228
hebart2023things,0.8202334642410278
hilbig2014generalized,0.08815658092498779
kool2016when,0.5001457333564758
kool2017cost,0.5371896624565125
lefebvre2017behavioural,0.498757004737854
levering2020revisiting,0.506327748298645
ludwig2023human,0.5283232927322388
peterson2021using,0.4392458498477936
plonsky2018when,0.3441832959651947
ruggeri2022globalizability,0.44088611006736755
sadeghiyeh2020temporal,0.5835245847702026
schulz2020finding,0.6626962423324585
somerville2017charting,0.3426181972026825
speekenbrink2008learning,0.5504686832427979
steingroever2015data,0.9206708669662476
tomov2020discovery,1.1759289503097534
tomov2021multitask,0.5874741673469543
waltz2020differential,0.1596536934375763
wilson2014humans,0.4575013816356659
wu2023chunking,0.16928383708000183
wulff2018description,0.6365215182304382
wulff2018sampling,0.4929376542568207
xiong2023neural,0.2963907718658447
zorowitz2023data,0.5103253126144409
collsiöö2023MCPL,1.1673314571380615
cox2017information,1.1580798625946045
garcia2023experiential,0.4707067310810089
jansen2021dunningkruger,1.4620441198349
krueger2022identifying,0.4619470238685608
kumar2023disentangling,0.06451928615570068
popov2023intent,1.0207293033599854
wise2019acomputational,4.490583419799805
wu2018generalisation,2.009521245956421
zhu2020bayesian,2.3834140300750732
