task,loss
badham2017deficits,0.5370649099349976
bahrami2020four,0.7169280052185059
enkavi2019adaptivenback,0.4092347323894501
enkavi2019digitspan,0.5877597332000732
enkavi2019gonogo,1.2944533409608994e-05
enkavi2019recentprobes,0.2642931342124939
feng2021dynamics,0.22158277034759521
flesch2018comparing,0.37997332215309143
frey2017cct,0.2019311487674713
frey2017risk,0.06610213965177536
gershman2018deconstructing,0.29320451617240906
gershman2020reward,0.5270690321922302
hebart2023things,0.7999622225761414
hilbig2014generalized,0.07623973488807678
kool2016when,0.49662700295448303
kool2017cost,0.530364453792572
lefebvre2017behavioural,0.49772483110427856
levering2020revisiting,0.50254887342453
ludwig2023human,0.5120493173599243
peterson2021using,0.435401976108551
plonsky2018when,0.3401585519313812
ruggeri2022globalizability,0.43880224227905273
sadeghiyeh2020temporal,0.5834448337554932
schulz2020finding,0.6521977782249451
somerville2017charting,0.3396592140197754
speekenbrink2008learning,0.5530545115470886
steingroever2015data,0.9198821187019348
tomov2020discovery,1.144804835319519
tomov2021multitask,0.5854672789573669
waltz2020differential,0.15285703539848328
wilson2014humans,0.45346930623054504
wu2023chunking,0.16652141511440277
wulff2018description,0.6131270527839661
wulff2018sampling,0.4871610701084137
xiong2023neural,0.2987571060657501
zorowitz2023data,0.5165711045265198
collsiöö2023MCPL,1.136473536491394
cox2017information,1.1513900756835938
garcia2023experiential,0.4660871922969818
jansen2021dunningkruger,1.4584226608276367
krueger2022identifying,0.4488534927368164
kumar2023disentangling,0.0011373594170436263
popov2023intent,1.0137121677398682
wise2019acomputational,3.92626953125
wu2018generalisation,1.9536195993423462
zhu2020bayesian,2.4506070613861084
