task,loss
badham2017deficits,10.130399703979492
bahrami2020four,8.425257682800293
enkavi2019adaptivenback,9.237320899963379
enkavi2019digitspan,2.960479974746704
enkavi2019gonogo,4.237245082855225
enkavi2019recentprobes,9.916488647460938
feng2021dynamics,7.553086757659912
flesch2018comparing,10.277632713317871
frey2017cct,6.72006368637085
frey2017risk,5.8679118156433105
gershman2018deconstructing,7.299289226531982
gershman2020reward,10.035075187683105
hebart2023things,12.14920711517334
hilbig2014generalized,10.447850227355957
kool2016when,8.821728706359863
kool2017cost,7.899186134338379
lefebvre2017behavioural,8.298114776611328
levering2020revisiting,10.99694538116455
ludwig2023human,6.621779441833496
peterson2021using,9.39699649810791
plonsky2018when,8.542643547058105
ruggeri2022globalizability,12.227242469787598
sadeghiyeh2020temporal,8.616586685180664
schulz2020finding,1.5653963088989258
somerville2017charting,8.490060806274414
speekenbrink2008learning,10.647101402282715
steingroever2015data,8.452402114868164
tomov2020discovery,11.388400077819824
tomov2021multitask,7.946201324462891
waltz2020differential,7.824217796325684
wilson2014humans,8.063516616821289
wu2023chunking,5.094341278076172
wulff2018description,10.125858306884766
wulff2018sampling,7.17751407623291
xiong2023neural,7.52030611038208
zorowitz2023data,7.68451452255249
collsiöö2023MCPL,6.916056156158447
cox2017information,9.327314376831055
garcia2023experiential,7.861117362976074
jansen2021dunningkruger,10.368395805358887
krueger2022identifying,7.1694746017456055
kumar2023disentangling,35.1518440246582
popov2023intent,9.084821701049805
wise2019acomputational,7.191059589385986
wu2018generalisation,3.1379332542419434
zhu2020bayesian,2.9196360111236572
