task,loss
badham2017deficits,0.5382234454154968
bahrami2020four,0.7176124453544617
enkavi2019adaptivenback,0.4181428551673889
enkavi2019digitspan,0.5899855494499207
enkavi2019gonogo,3.067403667955659e-05
enkavi2019recentprobes,0.2634877562522888
feng2021dynamics,0.221710667014122
flesch2018comparing,0.3837645649909973
frey2017cct,0.20295612514019012
frey2017risk,0.07232175767421722
gershman2018deconstructing,0.2994926869869232
gershman2020reward,0.5338980555534363
hebart2023things,0.8096953630447388
hilbig2014generalized,0.08843579888343811
kool2016when,0.49653780460357666
kool2017cost,0.531255841255188
lefebvre2017behavioural,0.4958718717098236
levering2020revisiting,0.5058838725090027
ludwig2023human,0.5182868242263794
peterson2021using,0.4375077188014984
plonsky2018when,0.34198877215385437
ruggeri2022globalizability,0.4394666850566864
sadeghiyeh2020temporal,0.5830082297325134
schulz2020finding,0.6582854390144348
somerville2017charting,0.3408583700656891
speekenbrink2008learning,0.53404700756073
steingroever2015data,0.9216830134391785
tomov2020discovery,1.1485329866409302
tomov2021multitask,0.5885844826698303
waltz2020differential,0.14696858823299408
wilson2014humans,0.4529372751712799
wu2023chunking,0.16851650178432465
wulff2018description,0.6219475865364075
wulff2018sampling,0.48702186346054077
xiong2023neural,0.3009635806083679
zorowitz2023data,0.5111167430877686
collsiöö2023MCPL,1.145781397819519
cox2017information,1.165589451789856
garcia2023experiential,0.4702349901199341
jansen2021dunningkruger,1.4615168571472168
krueger2022identifying,0.45650750398635864
kumar2023disentangling,0.09112909436225891
popov2023intent,1.05162513256073
wise2019acomputational,4.673851490020752
wu2018generalisation,2.059168577194214
zhu2020bayesian,2.465555429458618
