task,loss
badham2017deficits,0.5623522996902466
bahrami2020four,0.7532750964164734
enkavi2019adaptivenback,0.47848284244537354
enkavi2019digitspan,0.6404258608818054
enkavi2019gonogo,0.00018265732796862721
enkavi2019recentprobes,0.27666521072387695
feng2021dynamics,0.23947925865650177
flesch2018comparing,0.4045853614807129
frey2017cct,0.21671804785728455
frey2017risk,0.0732465460896492
gershman2018deconstructing,0.32633253931999207
gershman2020reward,0.5557594299316406
hebart2023things,1.0988595485687256
hilbig2014generalized,0.20204436779022217
kool2016when,0.5406099557876587
kool2017cost,0.5609715580940247
lefebvre2017behavioural,0.5013286471366882
levering2020revisiting,0.5273327827453613
ludwig2023human,0.5582790970802307
peterson2021using,0.459812194108963
plonsky2018when,0.362758606672287
ruggeri2022globalizability,0.48578405380249023
sadeghiyeh2020temporal,0.6162941455841064
schulz2020finding,0.6962417364120483
somerville2017charting,0.3607366979122162
speekenbrink2008learning,0.5636461973190308
steingroever2015data,0.9515924453735352
tomov2020discovery,1.3179775476455688
tomov2021multitask,0.6152045726776123
waltz2020differential,0.1534968912601471
wilson2014humans,0.48509788513183594
wu2023chunking,0.18095000088214874
wulff2018description,0.6839442253112793
wulff2018sampling,0.5137426853179932
xiong2023neural,0.31593644618988037
zorowitz2023data,0.5253318548202515
collsiöö2023MCPL,1.2192144393920898
cox2017information,1.2141250371932983
garcia2023experiential,0.5020307898521423
jansen2021dunningkruger,1.5631414651870728
krueger2022identifying,0.5265011191368103
kumar2023disentangling,2.1885361671447754
popov2023intent,1.2284706830978394
wise2019acomputational,5.023168087005615
wu2018generalisation,2.2449700832366943
zhu2020bayesian,2.581885576248169
