task,loss
badham2017deficits,0.5410746335983276
bahrami2020four,0.720554530620575
enkavi2019adaptivenback,0.42046359181404114
enkavi2019digitspan,0.5841949582099915
enkavi2019gonogo,2.058317477349192e-05
enkavi2019recentprobes,0.26605331897735596
feng2021dynamics,0.22681617736816406
flesch2018comparing,0.3867284953594208
frey2017cct,0.2055649757385254
frey2017risk,0.06890266388654709
gershman2018deconstructing,0.2964535653591156
gershman2020reward,0.5303229689598083
hebart2023things,0.8314176201820374
hilbig2014generalized,0.1178135797381401
kool2016when,0.5064750909805298
kool2017cost,0.5477166175842285
lefebvre2017behavioural,0.4951907992362976
levering2020revisiting,0.5106686353683472
ludwig2023human,0.5073785781860352
peterson2021using,0.4403626024723053
plonsky2018when,0.34573087096214294
ruggeri2022globalizability,0.44161149859428406
sadeghiyeh2020temporal,0.5895301103591919
schulz2020finding,0.6599249243736267
somerville2017charting,0.3436153531074524
speekenbrink2008learning,0.5534676909446716
steingroever2015data,0.9259787201881409
tomov2020discovery,1.1770275831222534
tomov2021multitask,0.581247866153717
waltz2020differential,0.14912770688533783
wilson2014humans,0.4581994414329529
wu2023chunking,0.17366257309913635
wulff2018description,0.6196837425231934
wulff2018sampling,0.4921332895755768
xiong2023neural,0.2953726053237915
zorowitz2023data,0.5146325826644897
collsiöö2023MCPL,1.1810064315795898
cox2017information,1.1380672454833984
garcia2023experiential,0.47385188937187195
jansen2021dunningkruger,1.4598342180252075
krueger2022identifying,0.45511698722839355
kumar2023disentangling,1.1694326400756836
popov2023intent,0.9661824703216553
wise2019acomputational,4.36279821395874
wu2018generalisation,1.9557420015335083
zhu2020bayesian,2.389622926712036
