Experiment,Task Name,Task Type,Qwen3-0.6B (base-bf16),Qwen3-0.6B (base-4bit),Qwentaur-0.6B (bf16),Qwentaur-0.6B (4bit),Llama-3.2-1B (base-bf16),Llama-3.2-1B (base-4bit),Centaur-1B (bf16),Centaur-1B (4bit),Qwen3-1.7B (base-bf16),Qwen3-1.7B (base-4bit),Qwentaur-1.7B (bf16),Qwentaur-1.7B (4bit),Llama-3.2-3B (base-bf16),Llama-3.2-3B (base-4bit),Centaur-3B (bf16),Centaur-3B (4bit),Qwen3-4B (base-bf16),Qwen3-4B (base-4bit),Qwentaur-4B (bf16),Qwentaur-4B (4bit),Qwen3-8B (base-bf16),Qwen3-8B (base-4bit),Qwentaur-8B (bf16),Qwentaur-8B (4bit),Llama-3.1-8B (base-bf16),Llama-3.1-8B (base-4bit),Centaur-8B (bf16),Centaur-8B (4bit),Qwen3-14B (base-bf16),Qwen3-14B (base-4bit),Qwentaur-14B (bf16),Qwentaur-14B (4bit),Llama-70B (4bit-reported),Centaur-70B (4bit-reproduced),Centaur-70B (4bit-reported),Cognitive model (reported)
peterson2021using,choices13k,Decision-making,0.6181,0.6459,0.4414,0.4552,0.6712,0.6764,0.4404,0.4530,0.6010,0.6241,0.4389,0.4505,0.5945,0.6087,0.4368,0.4432,0.5859,0.6070,0.4345,0.4434,0.5938,0.5750,0.4342,0.4519417881965637,0.5485,0.5534,0.4328,0.4374,0.5478,0.5604,0.4316,0.4455,0.5342,0.4335,0.4274,0.6563
tomov2021multitask,Multi-task reinforcement learning,Markov decision processes,0.7000,0.7569,0.5964,0.6149,0.8006,0.8532,0.5969,0.6279,0.7178,0.7753,0.5894,0.6051,0.6962,0.7261,0.5890,0.5964,0.6767,0.7005,0.5767,0.5831,0.6996,0.7096,0.5759,0.5959798097610474,0.6598,0.6636,0.5728,0.5804,0.6765,0.6797,0.5682,0.5867,0.6604,0.5691,0.5672,1.0424
kumar2023disentangling,Tile-revealing task,Markov decision processes,2.9477,2.9856,0.0245,3.2029,4.8589,5.2924,0.0165,3.8249,2.8128,2.9882,0.0100,2.8721,3.9846,3.9816,0.0041,1.8366,2.6709,2.7899,0.0008,1.4326,2.7308,2.7981,0.0710,1.1490974426269531,2.9155,2.9424,0.0003,0.8852,2.5969,2.6190,0.0005,0.6533,2.7380,2.2871,1.8710,
kool2017cost,Two-step task,Markov decision processes,0.6740,0.6995,0.5449,0.5670,0.6688,0.6950,0.5495,0.5630,0.6361,0.6651,0.5346,0.5571,0.6220,0.6375,0.5316,0.5418,0.6447,0.6478,0.5268,0.5381,0.6474,0.6611,0.5269,0.5408276915550232,0.6150,0.6144,0.5268,0.5331,0.6329,0.6405,0.5268,0.5422,0.6075,0.5288,0.4998,0.6043
kool2016when,Two-step task,Markov decision processes,0.6947,0.7142,0.5135,0.5312,0.6743,0.7080,0.5158,0.5299,0.6350,0.6555,0.5044,0.5207,0.6250,0.6425,0.4960,0.5056,0.6378,0.6470,0.4904,0.4995,0.6484,0.6575,0.4901,0.5075975060462952,0.6132,0.6110,0.4896,0.4984,0.6348,0.6381,0.4809,0.4991,0.6075,0.4778,0.4998,0.6043
zorowitz2023data,Two-step task,Markov decision processes,0.6222,0.6525,0.5169,0.5324,0.6354,0.6605,0.5214,0.5312,0.5887,0.6110,0.5120,0.5281,0.6003,0.6264,0.5089,0.5225,0.6006,0.6073,0.5104,0.5157,0.6110,0.6092,0.5075,0.5219704508781433,0.5795,0.5783,0.5106,0.5139,0.5892,0.5919,0.5102,0.5293,0.6075,0.5114,0.4998,0.6043
tomov2020discovery,Virtual subway network,Markov decision processes,1.6835,1.8700,1.1615,1.2043,1.6819,1.7451,1.1875,1.2238,1.5499,1.5922,1.1529,1.1984,1.5965,1.5889,1.1603,1.1798,1.5672,1.5863,1.1384,1.1592,1.5528,1.5724,1.1320,1.1750301122665405,1.5313,1.5505,1.1321,1.1465,1.5732,1.6020,1.1183,1.1647,1.5347,1.1590,1.1270,
ludwig2023human,Zoopermarket,Markov decision processes,0.6087,0.6396,0.5377,0.5513,0.6411,0.7047,0.5381,0.5622,0.6062,0.6185,0.5190,0.5320,0.6151,0.6232,0.5244,0.5337,0.5984,0.6006,0.5093,0.5184,0.5980,0.6082,0.5041,0.5241516828536987,0.5963,0.6094,0.5002,0.5113,0.5883,0.5898,0.4849,0.5038,0.6026,0.4974,0.4850,0.6047
gershman2020reward,Conditional associative learning,Memory,0.7630,0.7734,0.5402,0.5588,0.8171,0.8578,0.5455,0.5612,0.7075,0.7333,0.5316,0.5501,0.7346,0.7603,0.5319,0.5365,0.7111,0.7428,0.5237,0.5343,0.6920,0.7051,0.5209,0.5373513698577881,0.7013,0.7196,0.5215,0.5286,0.6058,0.6067,0.5147,0.5301,0.6373,0.5165,0.5380,0.8575
enkavi2019digitspan,Digit span,Memory,0.9399,1.0693,0.5998,0.6428,1.0116,1.0218,0.5984,0.6207,0.8946,0.9187,0.5889,0.6075,0.8445,0.8787,0.5896,0.5985,0.7177,0.7282,0.5773,0.5887,0.7033,0.7150,0.5722,0.5809962153434753,0.7514,0.7614,0.5776,0.5864,0.6852,0.6996,0.5665,0.5751,0.6618,0.5692,0.5520,0.9359
