task,loss
badham2017deficits,0.6506404876708984
bahrami2020four,0.9473916888237
enkavi2019adaptivenback,0.583016037940979
enkavi2019digitspan,0.9795898199081421
enkavi2019gonogo,0.002018445637077093
enkavi2019recentprobes,0.7307359576225281
feng2021dynamics,0.5061996579170227
flesch2018comparing,0.624728262424469
frey2017cct,0.27641263604164124
frey2017risk,0.08874410390853882
gershman2018deconstructing,0.41975128650665283
gershman2020reward,0.860483705997467
hebart2023things,1.131369948387146
hilbig2014generalized,0.6892890334129333
kool2016when,0.6717476844787598
kool2017cost,0.6812779307365417
lefebvre2017behavioural,0.6172045469284058
levering2020revisiting,0.6283968687057495
ludwig2023human,0.6376447081565857
peterson2021using,0.5258001089096069
plonsky2018when,0.44876742362976074
ruggeri2022globalizability,0.6594775915145874
sadeghiyeh2020temporal,0.6776217818260193
schulz2020finding,0.9270610213279724
somerville2017charting,0.5681873559951782
speekenbrink2008learning,0.5838987827301025
steingroever2015data,1.0612565279006958
tomov2020discovery,1.613031268119812
tomov2021multitask,0.821302056312561
waltz2020differential,0.37217020988464355
wilson2014humans,0.6049790978431702
wu2023chunking,0.22197215259075165
wulff2018description,0.7596984505653381
wulff2018sampling,0.6370494961738586
xiong2023neural,0.4542776644229889
zorowitz2023data,0.6446487307548523
collsiöö2023MCPL,1.86341392993927
cox2017information,2.030207872390747
garcia2023experiential,0.6547598838806152
jansen2021dunningkruger,2.073923110961914
krueger2022identifying,1.0152709484100342
kumar2023disentangling,3.214599370956421
popov2023intent,2.013453960418701
wise2019acomputational,5.333217144012451
wu2018generalisation,2.5169687271118164
zhu2020bayesian,2.7811334133148193
