task,loss
badham2017deficits,0.5498276352882385
bahrami2020four,0.745084285736084
enkavi2019adaptivenback,0.4478701949119568
enkavi2019digitspan,0.6313326954841614
enkavi2019gonogo,0.00012946971401106566
enkavi2019recentprobes,0.27123549580574036
feng2021dynamics,0.24392551183700562
flesch2018comparing,0.39578723907470703
frey2017cct,0.2121530920267105
frey2017risk,0.07518694549798965
gershman2018deconstructing,0.3298843502998352
gershman2020reward,0.5519893169403076
hebart2023things,0.8796677589416504
hilbig2014generalized,0.1972222477197647
kool2016when,0.5244699716567993
kool2017cost,0.5624478459358215
lefebvre2017behavioural,0.5111904740333557
levering2020revisiting,0.5220252275466919
ludwig2023human,0.5521456003189087
peterson2021using,0.45210352540016174
plonsky2018when,0.35501042008399963
ruggeri2022globalizability,0.44758498668670654
sadeghiyeh2020temporal,0.6023286581039429
schulz2020finding,0.6907305717468262
somerville2017charting,0.3546698987483978
speekenbrink2008learning,0.5460264086723328
steingroever2015data,0.9449493288993835
tomov2020discovery,1.2538988590240479
tomov2021multitask,0.6134443283081055
waltz2020differential,0.1604546755552292
wilson2014humans,0.47066766023635864
wu2023chunking,0.17733600735664368
wulff2018description,0.6537618041038513
wulff2018sampling,0.5035039782524109
xiong2023neural,0.31630101799964905
zorowitz2023data,0.5208594799041748
collsiöö2023MCPL,1.2149550914764404
cox2017information,1.2585638761520386
garcia2023experiential,0.4842595160007477
jansen2021dunningkruger,1.520418643951416
krueger2022identifying,0.5157074332237244
kumar2023disentangling,2.102900266647339
popov2023intent,1.225542426109314
wise2019acomputational,5.20013427734375
wu2018generalisation,2.239326000213623
zhu2020bayesian,2.571359634399414
