task,loss
badham2017deficits,0.6135510206222534
bahrami2020four,0.8585265278816223
enkavi2019adaptivenback,0.5352600812911987
enkavi2019digitspan,0.786668062210083
enkavi2019gonogo,0.0002778778434731066
enkavi2019recentprobes,0.40348753333091736
feng2021dynamics,0.44293829798698425
flesch2018comparing,0.534379243850708
frey2017cct,0.2505206763744354
frey2017risk,0.07733572274446487
gershman2018deconstructing,0.3603518605232239
gershman2020reward,0.7182772159576416
hebart2023things,1.1061264276504517
hilbig2014generalized,0.5184878706932068
kool2016when,0.6058399677276611
kool2017cost,0.6179268956184387
lefebvre2017behavioural,0.5451467037200928
levering2020revisiting,0.5746581554412842
ludwig2023human,0.60185307264328
peterson2021using,0.49477922916412354
plonsky2018when,0.3892657458782196
ruggeri2022globalizability,0.6061374545097351
sadeghiyeh2020temporal,0.6325696110725403
schulz2020finding,0.8021929860115051
somerville2017charting,0.4682646095752716
speekenbrink2008learning,0.5562392473220825
steingroever2015data,1.0112600326538086
tomov2020discovery,1.5058289766311646
tomov2021multitask,0.6864935755729675
waltz2020differential,0.27900540828704834
wilson2014humans,0.541653573513031
wu2023chunking,0.1935393065214157
wulff2018description,0.6928893327713013
wulff2018sampling,0.5595093965530396
xiong2023neural,0.4127291440963745
zorowitz2023data,0.5797158479690552
collsiöö2023MCPL,1.438925862312317
cox2017information,1.564465880393982
garcia2023experiential,0.5712985396385193
jansen2021dunningkruger,1.87980055809021
krueger2022identifying,0.7330478429794312
kumar2023disentangling,2.8960375785827637
popov2023intent,1.7427681684494019
wise2019acomputational,5.493452072143555
wu2018generalisation,2.481149911880493
zhu2020bayesian,2.7860898971557617
