task,loss
badham2017deficits,0.6238749623298645
bahrami2020four,0.9399840235710144
enkavi2019adaptivenback,0.5726895928382874
enkavi2019digitspan,0.8444917798042297
enkavi2019gonogo,0.006965791806578636
enkavi2019recentprobes,0.5615513324737549
feng2021dynamics,0.6699289679527283
flesch2018comparing,0.6409350633621216
frey2017cct,0.2728310823440552
frey2017risk,0.08264848589897156
gershman2018deconstructing,0.43451055884361267
gershman2020reward,0.7346034646034241
hebart2023things,1.1833223104476929
hilbig2014generalized,0.45382416248321533
kool2016when,0.6249632239341736
kool2017cost,0.6220459938049316
lefebvre2017behavioural,0.5819762945175171
levering2020revisiting,0.6006140112876892
ludwig2023human,0.6151338219642639
peterson2021using,0.594508707523346
plonsky2018when,0.41394689679145813
ruggeri2022globalizability,0.7519710063934326
sadeghiyeh2020temporal,0.6813462376594543
schulz2020finding,0.8911632895469666
somerville2017charting,0.574650764465332
speekenbrink2008learning,0.5895563364028931
steingroever2015data,1.055844783782959
tomov2020discovery,1.596462607383728
tomov2021multitask,0.6961893439292908
waltz2020differential,0.3702564239501953
wilson2014humans,0.6197423934936523
wu2023chunking,0.23258455097675323
wulff2018description,1.2036535739898682
wulff2018sampling,0.71100914478302
xiong2023neural,0.9041168093681335
zorowitz2023data,0.6003445982933044
collsiöö2023MCPL,1.4984970092773438
cox2017information,1.5574662685394287
garcia2023experiential,0.6912897229194641
jansen2021dunningkruger,2.1621181964874268
krueger2022identifying,0.8523359298706055
kumar2023disentangling,3.9846134185791016
popov2023intent,1.651958703994751
wise2019acomputational,5.523770332336426
wu2018generalisation,2.6361451148986816
zhu2020bayesian,2.8017115592956543
