task,loss
badham2017deficits,0.5499072670936584
bahrami2020four,0.7310449481010437
enkavi2019adaptivenback,0.42993414402008057
enkavi2019digitspan,0.6059654951095581
enkavi2019gonogo,1.094274102797499e-05
enkavi2019recentprobes,0.26521313190460205
feng2021dynamics,0.25857022404670715
flesch2018comparing,0.3952886760234833
frey2017cct,0.2079746127128601
frey2017risk,0.06777038425207138
gershman2018deconstructing,0.2960892915725708
gershman2020reward,0.5431624054908752
hebart2023things,0.8417139053344727
hilbig2014generalized,0.08260562270879745
kool2016when,0.5078049302101135
kool2017cost,0.543489933013916
lefebvre2017behavioural,0.49866896867752075
levering2020revisiting,0.5124087333679199
ludwig2023human,0.5387648940086365
peterson2021using,0.4408808946609497
plonsky2018when,0.3533797264099121
ruggeri2022globalizability,0.4415212571620941
sadeghiyeh2020temporal,0.5891624689102173
schulz2020finding,0.6662747263908386
somerville2017charting,0.35351577401161194
speekenbrink2008learning,0.5511921048164368
steingroever2015data,0.9277371168136597
tomov2020discovery,1.1989364624023438
tomov2021multitask,0.6002417206764221
waltz2020differential,0.16005630791187286
wilson2014humans,0.4742278456687927
wu2023chunking,0.17522123456001282
wulff2018description,0.6357159614562988
wulff2018sampling,0.4960082173347473
xiong2023neural,0.32416191697120667
zorowitz2023data,0.5125598311424255
collsiöö2023MCPL,1.1799448728561401
cox2017information,1.1725163459777832
garcia2023experiential,0.4745396375656128
jansen2021dunningkruger,1.46943199634552
krueger2022identifying,0.48157817125320435
kumar2023disentangling,1.273792028427124
popov2023intent,1.1364970207214355
wise2019acomputational,4.954954624176025
wu2018generalisation,2.039482355117798
zhu2020bayesian,2.522624969482422
