task,loss
badham2017deficits,0.5525060892105103
bahrami2020four,0.7282094955444336
enkavi2019adaptivenback,0.42289337515830994
enkavi2019digitspan,0.5936645269393921
enkavi2019gonogo,4.266461473889649e-05
enkavi2019recentprobes,0.26529189944267273
feng2021dynamics,0.23124349117279053
flesch2018comparing,0.3879314363002777
frey2017cct,0.2051180750131607
frey2017risk,0.07037655264139175
gershman2018deconstructing,0.3090262711048126
gershman2020reward,0.5390058159828186
hebart2023things,0.8231265544891357
hilbig2014generalized,0.08325403928756714
kool2016when,0.5095406174659729
kool2017cost,0.5419558882713318
lefebvre2017behavioural,0.5037159323692322
levering2020revisiting,0.5106348395347595
ludwig2023human,0.5337294340133667
peterson2021using,0.44159919023513794
plonsky2018when,0.3471110761165619
ruggeri2022globalizability,0.4411863386631012
sadeghiyeh2020temporal,0.5879349112510681
schulz2020finding,0.6694226861000061
somerville2017charting,0.34665751457214355
speekenbrink2008learning,0.5574575662612915
steingroever2015data,0.9348762631416321
tomov2020discovery,1.1886621713638306
tomov2021multitask,0.5934787392616272
waltz2020differential,0.15619632601737976
wilson2014humans,0.4604879319667816
wu2023chunking,0.17078621685504913
wulff2018description,0.6285930871963501
wulff2018sampling,0.491959810256958
xiong2023neural,0.29967769980430603
zorowitz2023data,0.5171982049942017
collsiöö2023MCPL,1.169793725013733
cox2017information,1.200865387916565
garcia2023experiential,0.47836944460868835
jansen2021dunningkruger,1.4642716646194458
krueger2022identifying,0.4809231460094452
kumar2023disentangling,0.19791065156459808
popov2023intent,1.0921308994293213
wise2019acomputational,4.6248087882995605
wu2018generalisation,1.9856230020523071
zhu2020bayesian,2.4426233768463135
