task,loss
badham2017deficits,0.5472237467765808
bahrami2020four,0.7283423542976379
enkavi2019adaptivenback,0.42812204360961914
enkavi2019digitspan,0.6080175638198853
enkavi2019gonogo,4.570836972561665e-05
enkavi2019recentprobes,0.26693135499954224
feng2021dynamics,0.2316034585237503
flesch2018comparing,0.39020636677742004
frey2017cct,0.20682787895202637
frey2017risk,0.07388854026794434
gershman2018deconstructing,0.3083612620830536
gershman2020reward,0.5476601123809814
hebart2023things,0.8385389447212219
hilbig2014generalized,0.08896061033010483
kool2016when,0.5136799812316895
kool2017cost,0.5477781891822815
lefebvre2017behavioural,0.503835916519165
levering2020revisiting,0.5124813914299011
ludwig2023human,0.5388316512107849
peterson2021using,0.44333046674728394
plonsky2018when,0.34709522128105164
ruggeri2022globalizability,0.44196730852127075
sadeghiyeh2020temporal,0.5917103290557861
schulz2020finding,0.6707377433776855
somerville2017charting,0.34850773215293884
speekenbrink2008learning,0.5340601205825806
steingroever2015data,0.928473949432373
tomov2020discovery,1.1865636110305786
tomov2021multitask,0.6002131104469299
waltz2020differential,0.15636089444160461
wilson2014humans,0.4602186381816864
wu2023chunking,0.17081186175346375
wulff2018description,0.6382383108139038
wulff2018sampling,0.4961790144443512
xiong2023neural,0.30921873450279236
zorowitz2023data,0.5166585445404053
collsiöö2023MCPL,1.1774684190750122
cox2017information,1.2021831274032593
garcia2023experiential,0.4744679033756256
jansen2021dunningkruger,1.480865478515625
krueger2022identifying,0.4807077944278717
kumar2023disentangling,1.0241025686264038
popov2023intent,1.1225641965866089
wise2019acomputational,5.0045390129089355
wu2018generalisation,2.1623315811157227
zhu2020bayesian,2.521191120147705
