task,loss
badham2017deficits,0.5319390892982483
bahrami2020four,0.7074448466300964
enkavi2019adaptivenback,0.4038802683353424
enkavi2019digitspan,0.5775758028030396
enkavi2019gonogo,5.1241177061456256e-06
enkavi2019recentprobes,0.25977614521980286
feng2021dynamics,0.22723567485809326
flesch2018comparing,0.38251838088035583
frey2017cct,0.20133477449417114
frey2017risk,0.06485495716333389
gershman2018deconstructing,0.28747379779815674
gershman2020reward,0.517707884311676
hebart2023things,0.7902511358261108
hilbig2014generalized,0.07730519026517868
kool2016when,0.4842323064804077
kool2017cost,0.5217064619064331
lefebvre2017behavioural,0.49399012327194214
levering2020revisiting,0.49384012818336487
ludwig2023human,0.5010101795196533
peterson2021using,0.43127819895744324
plonsky2018when,0.3375953733921051
ruggeri2022globalizability,0.43770653009414673
sadeghiyeh2020temporal,0.57778400182724
schulz2020finding,0.6436683535575867
somerville2017charting,0.33897289633750916
speekenbrink2008learning,0.5357122421264648
steingroever2015data,0.9078845977783203
tomov2020discovery,1.1258940696716309
tomov2021multitask,0.5734965205192566
waltz2020differential,0.15255805850028992
wilson2014humans,0.4549173414707184
wu2023chunking,0.16785427927970886
wulff2018description,0.601672351360321
wulff2018sampling,0.4770002067089081
xiong2023neural,0.29848167300224304
zorowitz2023data,0.5066393613815308
collsiöö2023MCPL,1.1224111318588257
cox2017information,1.1123528480529785
garcia2023experiential,0.4591786861419678
jansen2021dunningkruger,1.4401829242706299
krueger2022identifying,0.42781010270118713
kumar2023disentangling,0.26002416014671326
popov2023intent,0.9211658239364624
wise2019acomputational,3.609135627746582
wu2018generalisation,1.9180700778961182
zhu2020bayesian,2.4296247959136963
