task,loss
badham2017deficits,0.5987996459007263
bahrami2020four,0.7999899983406067
enkavi2019adaptivenback,0.48328039050102234
enkavi2019digitspan,0.6813263893127441
enkavi2019gonogo,0.00015002040890976787
enkavi2019recentprobes,0.3007952570915222
feng2021dynamics,0.35260286927223206
flesch2018comparing,0.545723021030426
frey2017cct,0.22963209450244904
frey2017risk,0.0750342383980751
gershman2018deconstructing,0.3470717668533325
gershman2020reward,0.6761757731437683
hebart2023things,0.9523634910583496
hilbig2014generalized,0.3325267732143402
kool2016when,0.5915672183036804
kool2017cost,0.6058337092399597
lefebvre2017behavioural,0.5435386896133423
levering2020revisiting,0.5584117770195007
ludwig2023human,0.6165808439254761
peterson2021using,0.46876999735832214
plonsky2018when,0.41232261061668396
ruggeri2022globalizability,0.4570821523666382
sadeghiyeh2020temporal,0.6258524656295776
schulz2020finding,0.7331457138061523
somerville2017charting,0.43165603280067444
speekenbrink2008learning,0.5558071136474609
steingroever2015data,0.9990561604499817
tomov2020discovery,1.4054267406463623
tomov2021multitask,0.6678553223609924
waltz2020differential,0.222063809633255
wilson2014humans,0.5197450518608093
wu2023chunking,0.16679245233535767
wulff2018description,0.6617337465286255
wulff2018sampling,0.532579779624939
xiong2023neural,0.3965024948120117
zorowitz2023data,0.5972393751144409
collsiöö2023MCPL,1.5312124490737915
cox2017information,1.5877666473388672
garcia2023experiential,0.46936413645744324
jansen2021dunningkruger,1.5914268493652344
krueger2022identifying,0.6537708044052124
kumar2023disentangling,2.5554139614105225
popov2023intent,1.6828107833862305
wise2019acomputational,5.164398670196533
wu2018generalisation,2.35530161857605
zhu2020bayesian,2.645320415496826
