task,loss
badham2017deficits,0.5941715836524963
bahrami2020four,0.9008538722991943
enkavi2019adaptivenback,0.5250446796417236
enkavi2019digitspan,0.6985907554626465
enkavi2019gonogo,0.0034360315185040236
enkavi2019recentprobes,0.3441515266895294
feng2021dynamics,0.35403379797935486
flesch2018comparing,0.4473883807659149
frey2017cct,0.25507575273513794
frey2017risk,0.08040031045675278
gershman2018deconstructing,0.4077130854129791
gershman2020reward,0.5940833687782288
hebart2023things,1.1516622304916382
hilbig2014generalized,0.1998077630996704
kool2016when,0.6318787336349487
kool2017cost,0.6342319846153259
lefebvre2017behavioural,0.5347219705581665
levering2020revisiting,0.5551535487174988
ludwig2023human,0.5912464261054993
peterson2021using,0.5327150821685791
plonsky2018when,0.39629411697387695
ruggeri2022globalizability,0.7391577363014221
sadeghiyeh2020temporal,0.6565017700195312
schulz2020finding,0.8043801784515381
somerville2017charting,0.4870392978191376
speekenbrink2008learning,0.5622944831848145
steingroever2015data,1.0577982664108276
tomov2020discovery,1.6009904146194458
tomov2021multitask,0.6625193357467651
waltz2020differential,0.2582380771636963
wilson2014humans,0.5389636754989624
wu2023chunking,0.19082847237586975
wulff2018description,1.0249626636505127
wulff2018sampling,0.6365649104118347
xiong2023neural,0.3435995578765869
zorowitz2023data,0.5798128247261047
collsiöö2023MCPL,1.27274489402771
cox2017information,1.377265214920044
garcia2023experiential,0.5799290537834167
jansen2021dunningkruger,1.9434831142425537
krueger2022identifying,0.6701354384422302
kumar2023disentangling,2.615302085876465
popov2023intent,1.2114994525909424
wise2019acomputational,4.779572486877441
wu2018generalisation,2.484423875808716
zhu2020bayesian,2.5946903228759766
