task,condition,loss
badham2017deficits,original,0.5284326076507568
badham2017deficits,instruction_ablated,0.5632564425468445
badham2017deficits,content_masked,0.6937848329544067
badham2017deficits,history_only,0.7038025259971619
bahrami2020four,original,0.7071235775947571
bahrami2020four,instruction_ablated,0.8690509796142578
bahrami2020four,content_masked,0.8434150218963623
bahrami2020four,history_only,0.8689411282539368
collsiöö2023MCPL,original,1.1310768127441406
collsiöö2023MCPL,instruction_ablated,1.1896265745162964
collsiöö2023MCPL,content_masked,1.9510382413864136
collsiöö2023MCPL,history_only,1.9562956094741821
feng2021dynamics,original,0.21921725571155548
feng2021dynamics,instruction_ablated,0.24138569831848145
feng2021dynamics,content_masked,0.4371286928653717
feng2021dynamics,history_only,0.5494516491889954
frey2017cct,original,0.20161283016204834
frey2017cct,instruction_ablated,0.23785613477230072
frey2017cct,content_masked,0.28557780385017395
frey2017cct,history_only,0.2936648428440094
garcia2023experiential,original,0.4593150019645691
garcia2023experiential,instruction_ablated,0.4666613042354584
garcia2023experiential,content_masked,0.8396193981170654
garcia2023experiential,history_only,1.4691081047058105
gershman2018deconstructing,original,0.2915829122066498
gershman2018deconstructing,instruction_ablated,0.34667885303497314
gershman2018deconstructing,content_masked,0.38374340534210205
gershman2018deconstructing,history_only,0.4457353949546814
krueger2022identifying,original,0.42401981353759766
krueger2022identifying,instruction_ablated,0.6498478651046753
krueger2022identifying,content_masked,0.8133147954940796
krueger2022identifying,history_only,0.9226081967353821
lefebvre2017behavioural,original,0.493106484413147
lefebvre2017behavioural,instruction_ablated,0.49159276485443115
lefebvre2017behavioural,content_masked,2.028296947479248
lefebvre2017behavioural,history_only,2.027860164642334
peterson2021using,original,0.4315979480743408
peterson2021using,instruction_ablated,0.43820059299468994
peterson2021using,content_masked,0.5122184753417969
peterson2021using,history_only,0.5559594631195068
plonsky2018when,original,0.3324323892593384
plonsky2018when,instruction_ablated,0.33505985140800476
plonsky2018when,content_masked,0.3756791353225708
plonsky2018when,history_only,0.40771982073783875
sadeghiyeh2020temporal,original,0.5760932564735413
sadeghiyeh2020temporal,instruction_ablated,0.5830816626548767
sadeghiyeh2020temporal,content_masked,0.6293090581893921
sadeghiyeh2020temporal,history_only,0.6790087819099426
schulz2020finding,original,0.641734778881073
schulz2020finding,instruction_ablated,0.6822749972343445
schulz2020finding,content_masked,0.8704620599746704
schulz2020finding,history_only,0.9987483620643616
somerville2017charting,original,0.334877073764801
somerville2017charting,instruction_ablated,0.3456462323665619
somerville2017charting,content_masked,0.5183754563331604
somerville2017charting,history_only,0.6026406288146973
speekenbrink2008learning,original,0.5512126088142395
speekenbrink2008learning,instruction_ablated,0.5993579626083374
speekenbrink2008learning,content_masked,0.7041159272193909
speekenbrink2008learning,history_only,0.7081848978996277
steingroever2015data,original,0.911247968673706
steingroever2015data,instruction_ablated,1.084796667098999
steingroever2015data,content_masked,0.9683544635772705
steingroever2015data,history_only,0.9782525300979614
waltz2020differential,original,0.14972245693206787
waltz2020differential,instruction_ablated,0.1597842127084732
waltz2020differential,content_masked,0.32400691509246826
waltz2020differential,history_only,0.4371170401573181
