task,condition,loss
badham2017deficits,original,0.5423662066459656
badham2017deficits,instruction_ablated,0.5629101991653442
badham2017deficits,content_masked,0.7020068168640137
badham2017deficits,history_only,0.7012604475021362
bahrami2020four,original,0.7150993347167969
bahrami2020four,instruction_ablated,0.8354808688163757
bahrami2020four,content_masked,0.8482231497764587
bahrami2020four,history_only,0.8695939183235168
collsiöö2023MCPL,original,1.1480268239974976
collsiöö2023MCPL,instruction_ablated,1.2016655206680298
collsiöö2023MCPL,content_masked,1.9780763387680054
collsiöö2023MCPL,history_only,1.9780563116073608
feng2021dynamics,original,0.24473075568675995
feng2021dynamics,instruction_ablated,0.26061731576919556
feng2021dynamics,content_masked,0.45446428656578064
feng2021dynamics,history_only,0.5470281839370728
frey2017cct,original,0.20446664094924927
frey2017cct,instruction_ablated,0.24141289293766022
frey2017cct,content_masked,0.27550679445266724
frey2017cct,history_only,0.2943761646747589
garcia2023experiential,original,0.4700
garcia2023experiential,instruction_ablated,0.4711793065071106
garcia2023experiential,content_masked,0.8670777082443237
garcia2023experiential,history_only,1.50371515750885
gershman2018deconstructing,original,0.2934446632862091
gershman2018deconstructing,instruction_ablated,0.33999064564704895
gershman2018deconstructing,content_masked,0.3881038427352905
gershman2018deconstructing,history_only,0.4606913924217224
krueger2022identifying,original,0.455843985080719
krueger2022identifying,instruction_ablated,0.653933048248291
krueger2022identifying,content_masked,0.8411242961883545
krueger2022identifying,history_only,0.9814344644546509
lefebvre2017behavioural,original,0.4969360828399658
lefebvre2017behavioural,instruction_ablated,0.4937973618507385
lefebvre2017behavioural,content_masked,2.093459367752075
lefebvre2017behavioural,history_only,2.0634093284606934
peterson2021using,original,0.4367627799510956
peterson2021using,instruction_ablated,0.44323092699050903
peterson2021using,content_masked,0.5143444538116455
peterson2021using,history_only,0.5588409900665283
plonsky2018when,original,0.3467167913913727
plonsky2018when,instruction_ablated,0.34825167059898376
plonsky2018when,content_masked,0.3792676031589508
plonsky2018when,history_only,0.4079791009426117
sadeghiyeh2020temporal,original,0.582520604133606
sadeghiyeh2020temporal,instruction_ablated,0.587160050868988
sadeghiyeh2020temporal,content_masked,0.6309405565261841
sadeghiyeh2020temporal,history_only,0.6822689771652222
schulz2020finding,original,0.657398521900177
schulz2020finding,instruction_ablated,0.6907458305358887
schulz2020finding,content_masked,0.8555755615234375
schulz2020finding,history_only,1.0336432456970215
somerville2017charting,original,0.3444366455078125
somerville2017charting,instruction_ablated,0.3515368103981018
somerville2017charting,content_masked,0.5233122110366821
somerville2017charting,history_only,0.600459635257721
speekenbrink2008learning,original,0.5402618646621704
