family,size,params_billions,axis,lora_rank,data_fraction,mean_nll
Olmotaur,1B,1.0,datasize,16,0.0625,0.719637
Olmotaur,1B,1.0,datasize,16,0.125,0.680728
Olmotaur,1B,1.0,datasize,16,0.25,0.637678
Olmotaur,1B,1.0,datasize,16,0.5,0.610044
Olmotaur,1B,1.0,rank_sweep,4,1.0,0.612288
Olmotaur,1B,1.0,rank_sweep,8,1.0,0.597645
Olmotaur,1B,1.0,rank_sweep,32,1.0,0.575702
Olmotaur,1B,1.0,rank_sweep,64,1.0,0.565859
Olmotaur,7B,7.0,baseline,16,1.0,0.523394
Olmotaur,7B,7.0,datasize,16,0.0625,0.624479
Olmotaur,7B,7.0,datasize,16,0.125,0.580130
Olmotaur,7B,7.0,datasize,16,0.25,0.552316
Olmotaur,7B,7.0,datasize,16,0.5,0.535679
Olmotaur,7B,7.0,rank_sweep,4,1.0,0.535384
Olmotaur,7B,7.0,rank_sweep,8,1.0,0.529403
Olmotaur,7B,7.0,rank_sweep,32,1.0,0.518301
Olmotaur,7B,7.0,rank_sweep,64,1.0,0.513198
Centaur-70B (reproduced),70B,70,reference,8,1.0,0.523605
Centaur-70B (reported),70B,70,reference,8,1.0,0.510039
Cognitive baseline,,,reference,,,0.6851
