family,size,params_billions,axis,lora_rank,data_fraction,mean_nll
Olmotaur,1B,1.0,datasize,16,0.0625,0.9941
Olmotaur,1B,1.0,datasize,16,0.125,0.9454
Olmotaur,1B,1.0,datasize,16,0.25,0.8943
Olmotaur,1B,1.0,datasize,16,0.5,0.847
Olmotaur,1B,1.0,rank_sweep,4,1.0,0.8551
Olmotaur,1B,1.0,rank_sweep,8,1.0,0.8053
Olmotaur,1B,1.0,rank_sweep,32,1.0,0.7515
Olmotaur,1B,1.0,rank_sweep,64,1.0,0.7345
Olmotaur,7B,7.0,baseline,16,1.0,0.6829
Olmotaur,7B,7.0,datasize,16,0.0625,0.88
Olmotaur,7B,7.0,datasize,16,0.125,0.8171
Olmotaur,7B,7.0,datasize,16,0.25,0.7739
Olmotaur,7B,7.0,datasize,16,0.5,0.7255
Olmotaur,7B,7.0,rank_sweep,4,1.0,0.7242
Olmotaur,7B,7.0,rank_sweep,8,1.0,0.6992
Olmotaur,7B,7.0,rank_sweep,32,1.0,0.6558
Olmotaur,7B,7.0,rank_sweep,64,1.0,0.6444
Centaur-70B (reproduced),70B,70,reference,8,1.0,0.7113
Centaur-70B (reported),70B,70,reference,8,1.0,0.6877
Cognitive baseline,,,reference,,,0.6851
